2023-05-22 15:25:07,388 - run_driver - ERROR - Failed [[WinError 10061] No connection could be made because the target machine actively refused it]
2023-05-22 15:26:11,702 - run_driver - ERROR - Failed [name 'unicode' is not defined]
2023-05-22 15:38:27,896 - cobas6k - ERROR - bytes expected, got '1H|\\^&|||H7600^1|||||Host|RSUPL^REAL|P|1\rP|1||PatID|||||M||||||40^Y\rO|1|SampleID              |1^5200^1^^S1^SC|^^^111^1|R||20230522152608||||N||||1|||||||20230522152608|||F\rC|1|I|Comm1                         ^Comm2                    ^Comm3\x17AF\r\n2               ^Comm4          ^Comm5     |G\rR|1|^^^111/1/not|9.5|g/l||N||F||BMSERV|||E11\rC|1|I|0|I\rL|1|N\r1\r\x03'
2023-05-22 15:38:42,396 - cobas6k - ERROR - bytes expected, got '1H|\\^&|||H7600^1|||||Host|RSUPL^REAL|P|1\rP|1||PatID|||||M||||||40^Y\rO|1|SampleID              |1^5200^1^^S1^SC|^^^111^1|R||20230522152608||||N||||1|||||||20230522152608|||F\rC|1|I|Comm1                         ^Comm2                    ^Comm3\x17AF\r\n2               ^Comm4          ^Comm5     |G\rR|1|^^^111/1/not|9.5|g/l||N||F||BMSERV|||E11\rC|1|I|0|I\rL|1|N\r1\r\x03'
2023-05-22 15:38:42,399 - cobas6k - ERROR - bytes expected, got '1H|\\^&|||H7600^1|||||Host|RSUPL^REAL|P|1\rP|1||PatID|||||M||||||40^Y\rO|1|SampleID              |1^5200^1^^S1^SC|^^^111^1|R||20230522152608||||N||||1|||||||20230522152608|||F\rC|1|I|Comm1                         ^Comm2                    ^Comm3\x17AF\r\n2               ^Comm4          ^Comm5     |G\rR|1|^^^111/1/not|9.5|g/l||N||F||BMSERV|||E11\rC|1|I|0|I\rL|1|N\r1\r\x03'
2023-05-22 15:38:56,991 - cobas6k - ERROR - bytes expected, got '1H|\\^&|||H7600^1|||||Host|RSUPL^REAL|P|1\rP|1||PatID|||||M||||||40^Y\rO|1|SampleID              |1^5200^1^^S1^SC|^^^111^1|R||20230522152608||||N||||1|||||||20230522152608|||F\rC|1|I|Comm1                         ^Comm2                    ^Comm3\x17AF\r\n2               ^Comm4          ^Comm5     |G\rR|1|^^^111/1/not|9.5|g/l||N||F||BMSERV|||E11\rC|1|I|0|I\rL|1|N\r1\r\x03'
2023-05-22 15:38:56,995 - cobas6k - ERROR - bytes expected, got '1H|\\^&|||H7600^1|||||Host|RSUPL^REAL|P|1\rP|1||PatID|||||M||||||40^Y\rO|1|SampleID              |1^5200^1^^S1^SC|^^^111^1|R||20230522152608||||N||||1|||||||20230522152608|||F\rC|1|I|Comm1                         ^Comm2                    ^Comm3\x17AF\r\n2               ^Comm4          ^Comm5     |G\rR|1|^^^111/1/not|9.5|g/l||N||F||BMSERV|||E11\rC|1|I|0|I\rL|1|N\r1\r\x03'
2023-05-22 15:39:16,400 - cobas6k - ERROR - bytes expected, got '1H|\\^&|||H7600^1|||||Host|RSUPL^REAL|P|1\rP|1||PatID|||||M||||||40^Y\rO|1|SampleID              |1^5200^1^^S1^SC|^^^111^1|R||20230522152608||||N||||1|||||||20230522152608|||F\rC|1|I|Comm1                         ^Comm2                    ^Comm3\x17AF\r\n2               ^Comm4          ^Comm5     |G\rR|1|^^^111/1/not|9.5|g/l||N||F||BMSERV|||E11\rC|1|I|0|I\rL|1|N\r1\r\x03'
2023-05-22 15:39:16,401 - cobas6k - ERROR - bytes expected, got '1H|\\^&|||H7600^1|||||Host|RSUPL^REAL|P|1\rP|1||PatID|||||M||||||40^Y\rO|1|SampleID              |1^5200^1^^S1^SC|^^^111^1|R||20230522152608||||N||||1|||||||20230522152608|||F\rC|1|I|Comm1                         ^Comm2                    ^Comm3\x17AF\r\n2               ^Comm4          ^Comm5     |G\rR|1|^^^111/1/not|9.5|g/l||N||F||BMSERV|||E11\rC|1|I|0|I\rL|1|N\r1\r\x03'
2023-05-22 15:39:33,552 - cobas6k - ERROR - bytes expected, got '1H|\\^&|||H7600^1|||||Host|RSUPL^REAL|P|1\rP|1||PatID|||||M||||||40^Y\rO|1|SampleID              |1^5200^1^^S1^SC|^^^111^1|R||20230522152608||||N||||1|||||||20230522152608|||F\rC|1|I|Comm1                         ^Comm2                    ^Comm3\x17AF\r\n2               ^Comm4          ^Comm5     |G\rR|1|^^^111/1/not|9.5|g/l||N||F||BMSERV|||E11\rC|1|I|0|I\rL|1|N\r1\r\x03'
2023-05-22 15:39:33,554 - cobas6k - ERROR - bytes expected, got '1H|\\^&|||H7600^1|||||Host|RSUPL^REAL|P|1\rP|1||PatID|||||M||||||40^Y\rO|1|SampleID              |1^5200^1^^S1^SC|^^^111^1|R||20230522152608||||N||||1|||||||20230522152608|||F\rC|1|I|Comm1                         ^Comm2                    ^Comm3\x17AF\r\n2               ^Comm4          ^Comm5     |G\rR|1|^^^111/1/not|9.5|g/l||N||F||BMSERV|||E11\rC|1|I|0|I\rL|1|N\r1\r\x03'
2023-05-22 15:39:55,005 - cobas6k - ERROR - (2003, "Can't connect to MySQL server on '192.168.0.100' (10060)")
